OM321820	SAMN25134586
OM321831	SAMN25134597
OM420605	SAMN25280494
OM420629	SAMN25280510
OM420634	SAMN25280508
OM420611	SAMN25280511
OM420636	SAMN25280520
OM420614	SAMN25280521
OM456448	SAMN25513794
OM456465	SAMN25513843
OM456396	SAMN25513881
OM571261	SAMN25706269
OM571289	SAMN25706287
OM571301	SAMN25706326
OM570917	SAMN25729043
OM103730	SAMN24588037
ON024543	SAMN26806021
OM321898	SAMN25134419
OM321958	SAMN25134438
OM321971	SAMN25134442
OM321973	SAMN25134441
OM321977	SAMN25134447
OV690108	SAMEA11748725
OM570870	SAMN25729035
OM335233	SAMN25155954
OM619178	SAMN25766390
OM724482	SAMN26009377
OM901234	SAMN26376613
OM901271	SAMN26376612
OM977236	SAMN26589222
OM888911	SAMN26352373
OV883326	SAMEA12939668
OM349915	SAMN25210161
OM646144	SAMN25850404
OM723293	SAMN25855513
OM723286	SAMN25855512
OM806261	SAMN26204812
OM261838	SAMN24914462
OM307894	SAMN25082925
OM704580	SAMN25986644
OM636083	SAMN25813837
ON071166	SAMN26723651
OM636112	SAMN25813869
OM562174	SAMN25700844
OM619956	SAMN25766332
OM353038	SAMN25171077
OM890692	SAMN26352319
OM411437	SAMN25267510
OM367311	SAMN25140980
OM626390	SAMN25734454
OM229100	SAMN24781229
OM229144	SAMN24781226
OM229219	SAMN24781560
OM229721	SAMN24698332
OM229766	SAMN24781522
OM229882	SAMN24697990
OM229885	SAMN24698089
OM294762	SAMN25044797
OM294443	SAMN25026833
OM295174	SAMN25044750
OM295229	SAMN25044817
OM263774	SAMN24900646
OM402762	SAMN25004604
OM263901	SAMN24900653
OM263938	SAMN24900658
OM403003	SAMN25004600
OM403008	SAMN25004738
OM518982	SAMN25646709
OM636059	SAMN25813811
OM344512	SAMN25170305
OM625143	SAMN25733648
OM618891	SAMN25766223
OM123427	SAMN24597947
OM448601	SAMN25417231
OM430961	SAMN25348080
OM448904	SAMN25417444
OM565639	SAMN25698413
OM518883	SAMN25646585
OM561674	SAMN25700125
OM673259	SAMN25897900
OM883263	SAMN26348668
OM272768	SAMN24974445
OM563472	SAMN25701636
